date,time,ozone_santaClarita,no_santaClarita,no2_santaClarita,RH_santaClarita,TEMP_santaClarita,WINDIR_santaClarita,WINDSPEED_santaClarita
2020/01/03,15:00:00,0.0383,2.5,11.799999999999999,25.2,74.19,173.0,5.0
2020/01/03,16:00:00,0.0338,1.0,15.299999999999999,29.3,69.72,174.0,5.0
2020/01/03,17:00:00,0.0206,0.9,23.900000000000002,40.3,64.83,344.0,1.0
2020/01/03,18:00:00,0.0173,1.9,21.0,47.5,59.06,0.0,1.0
2020/01/03,19:00:00,0.0068,2.4,28.2,46.6,55.04,127.0,2.0
2020/01/03,20:00:00,0.0029,3.8,29.8,53.0,52.11,136.0,1.0
2020/01/03,21:00:00,0.0026,5.5,26.5,63.1,49.95,139.0,2.0
2020/01/03,22:00:00,0.0031,2.4,19.7,75.1,46.78,138.0,1.0
2020/01/03,23:00:00,0.0041,1.4,18.3,82.4,45.31,129.0,2.0
2020/01/04,00:00:00,0.0035,2.3,15.100000000000001,84.0,43.91,143.0,1.0
2020/01/04,01:00:00,0.0044,1.5,14.5,89.0,42.33,121.0,2.0
2020/01/04,02:00:00,0.003,3.2,13.100000000000001,90.3,41.21,150.0,1.0
2020/01/04,03:00:00,0.0013,7.6,13.899999999999999,92.3,40.11,131.0,1.0
2020/01/04,04:00:00,0.0022,1.8,11.2,93.5,39.22,0.0,1.0
2020/01/04,05:00:00,0.0018,2.7,11.799999999999999,94.1,38.73,131.0,2.0
2020/01/04,06:00:00,0.0012,7.0,12.8,93.9,38.04,133.0,1.0
2020/01/04,07:00:00,0.0025,15.0,12.7,92.4,38.68,137.0,2.0
2020/01/04,08:00:00,0.006,21.0,14.5,77.0,45.56,0.0,1.0
2020/01/04,09:00:00,0.014,12.9,13.899999999999999,62.7,54.38,0.0,0.0
2020/01/04,10:00:00,0.0245,6.6,12.5,48.8,60.92,0.0,1.0
2020/01/04,11:00:00,0.0313,4.3,10.1,39.2,67.51,341.0,2.0
2020/01/04,12:00:00,0.0393,2.9,9.0,28.7,70.74,344.0,2.0
2020/01/04,13:00:00,0.0443,1.9,8.200000000000001,27.3,70.04,160.0,3.0
2020/01/04,14:00:00,0.0453,1.1,5.5,29.1,69.48,291.0,3.0
2020/01/04,15:00:00,0.0445,0.8,4.4,31.0,68.79,318.0,3.0
2020/01/04,16:00:00,0.0374,0.7,6.3,40.2,64.71,349.0,3.0
2020/01/04,17:00:00,0.0195,0.4,13.799999999999999,56.0,57.53,134.0,2.0
2020/01/04,18:00:00,0.0117,0.3,18.599999999999998,64.9,53.4,142.0,2.0
2020/01/04,19:00:00,0.0089,2.0,19.099999999999998,70.0,51.19,160.0,1.0
2020/01/04,20:00:00,0.0126,1.2,15.299999999999999,75.7,49.56,138.0,1.0
2020/01/04,21:00:00,0.0125,0.6,12.7,80.0,47.26,134.0,2.0
2020/01/04,22:00:00,0.0106,0.8,13.0,81.7,45.49,137.0,1.0
2020/01/04,23:00:00,0.0108,0.5,13.100000000000001,82.6,44.64,130.0,2.0
2020/01/05,00:00:00,0.0085,0.5,10.3,85.3,42.54,141.0,2.0
2020/01/05,01:00:00,0.0119,0.3,8.6,81.7,42.09,128.0,2.0
2020/01/05,02:00:00,0.0099,0.9,10.1,83.0,41.24,143.0,2.0
2020/01/05,03:00:00,0.0147,0.4,6.8999999999999995,79.1,41.78,132.0,2.0
2020/01/05,04:00:00,0.015,0.4,5.3,78.9,40.95,130.0,1.0
2020/01/05,05:00:00,0.0125,0.4,6.8,82.6,39.54,129.0,1.0
2020/01/05,06:00:00,0.0076,1.7,11.4,85.2,38.52,145.0,2.0
2020/01/05,07:00:00,0.0104,2.0,11.9,77.8,42.09,150.0,2.0
2020/01/05,08:00:00,0.0166,3.7,9.299999999999999,67.3,50.11,110.0,1.0
2020/01/05,09:00:00,0.027,4.5,8.200000000000001,48.8,58.34,298.0,2.0
2020/01/05,10:00:00,0.0363,1.1,3.1,45.3,61.81,319.0,4.0
2020/01/05,11:00:00,0.0393,0.8,2.5,36.8,66.66,335.0,3.0
2020/01/05,12:00:00,0.045,0.6,1.5,21.8,68.99,349.0,13.0
2020/01/05,13:00:00,0.0449,0.4,1.2,22.5,68.17,339.0,13.0
2020/01/05,14:00:00,0.0418,0.5,1.9,28.4,65.9,342.0,13.0
2020/01/05,15:00:00,0.0404,0.5,2.2,27.8,63.81,342.0,12.0
2020/01/05,16:00:00,0.0393,0.4,2.7,30.7,59.04,327.0,10.0
2020/01/05,17:00:00,0.0393,0.3,2.4,37.2,55.58,338.0,10.0
2020/01/05,18:00:00,0.0381,0.3,2.7,40.7,54.59,336.0,5.0
2020/01/05,19:00:00,0.0355,0.2,3.2,48.0,53.27,13.0,2.0
2020/01/05,20:00:00,0.0266,0.8,9.299999999999999,48.8,52.21,36.0,3.0
2020/01/05,21:00:00,0.0364,0.3,3.0,43.1,54.79,354.0,5.0
2020/01/05,22:00:00,0.038,0.1,1.5,42.7,55.84,351.0,7.0
2020/01/05,23:00:00,0.0373,0.1,1.6,44.3,55.41,344.0,8.0
2020/01/06,00:00:00,0.0363,0.1,2.0,44.5,55.29,304.0,5.0
