date,time,ozone_anaheim,no_anaheim,no2_anaheim,RH_anaheim,TEMP_anaheim,WINDIR_anaheim,WINDSPEED_anaheim
2020/01/03,15:00:00,0.0436,1.7,10.7,31.1,72.08,227.0,3.0
2020/01/03,16:00:00,0.0339,1.5,20.299999999999997,39.8,68.89,241.0,3.0
2020/01/03,17:00:00,0.0239,1.4,28.6,53.4,63.41,240.0,3.0
2020/01/03,18:00:00,0.0078,2.8,40.599999999999994,60.6,60.59,0.0,0.0
2020/01/03,19:00:00,0.0005,14.3,43.9,67.1,58.69,0.0,1.0
2020/01/03,20:00:00,0.0006,35.7,42.0,71.0,57.5,0.0,1.0
2020/01/03,21:00:00,0.0006,26.700000000000003,42.5,66.5,57.11,86.0,1.0
2020/01/03,22:00:00,0.0007,57.9,38.5,69.2,55.57,55.0,1.0
2020/01/03,23:00:00,0.0004,23.599999999999998,36.900000000000006,66.8,54.34,57.0,1.0
2020/01/04,00:00:00,0.0003,39.0,35.4,68.0,53.05,0.0,1.0
2020/01/04,01:00:00,0.0002,28.2,34.3,71.0,51.55,62.0,2.0
2020/01/04,02:00:00,0.0,28.1,33.0,72.3,50.59,48.0,2.0
2020/01/04,03:00:00,0.0,19.5,30.900000000000002,73.5,49.89,50.0,1.0
2020/01/04,04:00:00,-0.0002,29.8,29.8,75.6,48.94,62.0,1.0
2020/01/04,05:00:00,-0.0002,36.6,30.099999999999998,76.0,48.69,53.0,2.0
2020/01/04,06:00:00,-0.0002,52.699999999999996,31.099999999999998,74.5,48.78,51.0,2.0
2020/01/04,07:00:00,0.0007,44.6,29.5,71.7,49.53,51.0,2.0
2020/01/04,08:00:00,0.0033,44.5,29.6,65.6,54.22,87.0,1.0
2020/01/04,09:00:00,0.0088,28.9,30.099999999999998,64.2,59.63,0.0,1.0
2020/01/04,10:00:00,0.018,16.6,27.0,60.8,62.85,191.0,1.0
2020/01/04,11:00:00,0.0274,9.5,23.5,52.7,64.73,250.0,2.0
2020/01/04,12:00:00,0.031,8.7,25.9,44.9,67.11,235.0,1.0
2020/01/04,13:00:00,0.036,6.4,23.400000000000002,41.4,69.22,225.0,2.0
2020/01/04,14:00:00,0.0292,8.6,29.9,44.5,69.75,238.0,3.0
2020/01/04,15:00:00,0.0287,4.8,26.599999999999998,52.3,67.91,234.0,4.0
2020/01/04,16:00:00,0.0249,2.5,28.400000000000002,64.5,63.01,226.0,4.0
2020/01/04,17:00:00,0.0226,1.3,30.0,68.1,60.67,179.0,1.0
2020/01/04,18:00:00,0.0071,4.2,39.0,73.8,58.73,0.0,1.0
2020/01/04,19:00:00,0.0022,6.5,38.5,82.4,56.96,0.0,0.0
2020/01/04,20:00:00,0.0005,25.5,36.5,86.2,55.43,0.0,0.0
2020/01/04,21:00:00,0.0006,46.6,37.900000000000006,84.9,54.3,0.0,1.0
2020/01/04,22:00:00,0.0004,47.9,35.3,82.8,53.19,45.0,1.0
2020/01/04,23:00:00,0.0003,42.1,32.5,83.9,52.23,0.0,1.0
2020/01/05,00:00:00,0.0004,32.2,29.3,83.5,50.51,46.0,1.0
2020/01/05,01:00:00,0.0002,31.7,28.1,81.1,49.59,65.0,1.0
2020/01/05,02:00:00,0.0,22.2,27.7,81.6,48.56,43.0,1.0
2020/01/05,03:00:00,0.0,19.900000000000002,26.8,80.1,47.63,0.0,1.0
2020/01/05,04:00:00,-0.0001,25.2,24.299999999999997,82.2,46.57,0.0,1.0
2020/01/05,05:00:00,-0.0001,22.700000000000003,25.3,83.2,46.28,75.0,1.0
2020/01/05,06:00:00,-0.0001,25.9,27.799999999999997,81.3,46.55,60.0,2.0
2020/01/05,07:00:00,0.0014,24.299999999999997,26.8,76.6,48.28,49.0,2.0
2020/01/05,08:00:00,0.0077,18.4,24.8,63.8,53.96,70.0,2.0
